Week,TEAM_1,TEAM_2,,,,,,,,,,,,,,,,
9,CIN,@JAX,,,,,,,,,,,,,,,,
9,CLE,BYE,,,,,,,,,,,,,,,,
9,DAL,KC,,,,,,,,,,,,,,,,
9,DEN,@PHI,,,,,,,,,,,,,,,,
9,DET,@GB,,,,,,,,,,,,,,,,
9,GB,DET,,,,,,,,,,,,,,,,
9,HOU,IND,,,,,,,,,,,,,,,,
9,IND,@HOU,,,,,,,,,,,,,,,,
9,JAX,CIN,,,,,,,,,,,,,,,,
9,KC,@DAL,,,,,,,,,,,,,,,,
9,LAR,@NYG,,,,,,,,,,,,,,,,
9,LAC,BYE,,,,,,,,,,,,,,,,
9,MIA,OAK,,,,,,,,,,,,,,,,
9,MIN,BYE,,,,,,,,,,,,,,,,
9,NE,BYE,,,,,,,,,,,,,,,,
9,NO,TB,,,,,,,,,,,,,,,,
9,NYG,LAR,,,,,,,,,,,,,,,,
9,NYJ,BUF,,,,,,,,,,,,,,,,
9,OAK,@MIA,,,,,,,,,,,,,,,,
9,PHI,DEN,,,,,,,,,,,,,,,,
9,PIT,BYE,,,,,,,,,,,,,,,,
9,SF,ARI,,,,,,,,,,,,,,,,
9,SEA,WSH,,,,,,,,,,,,,,,,
9,TB,@NO,,,,,,,,,,,,,,,,
9,TEN,BAL,,,,,,,,,,,,,,,,
9,WSH,@SEA,,,,,,,,,,,,,,,,
10,ARI,SEA,,,,,,,,,,,,,,,,
10,ATL,DAL,,,,,,,,,,,,,,,,
10,BAL,BYE,,,,,,,,,,,,,,,,
10,BUF,NO,,,,,,,,,,,,,,,,
10,CAR,MIA,,,,,,,,,,,,,,,,
10,CHI,GB,,,,,,,,,,,,,,,,
10,CIN,@TEN,,,,,,,,,,,,,,,,
10,CLE,@DET,,,,,,,,,,,,,,,,
10,DAL,@ATL,,,,,,,,,,,,,,,,
10,DEN,NE,,,,,,,,,,,,,,,,
10,DET,CLE,,,,,,,,,,,,,,,,
10,GB,@CHI,,,,,,,,,,,,,,,,
10,HOU,@LAR,,,,,,,,,,,,,,,,
10,IND,PIT,,,,,,,,,,,,,,,,
10,JAX,LAC,,,,,,,,,,,,,,,,
10,KC,BYE,,,,,,,,,,,,,,,,
10,LAR,HOU,,,,,,,,,,,,,,,,
10,LAC,@JAX,,,,,,,,,,,,,,,,
10,MIA,@CAR,,,,,,,,,,,,,,,,
10,MIN,@WSH,,,,,,,,,,,,,,,,
10,NE,@DEN,,,,,,,,,,,,,,,,
10,NO,@BUF,,,,,,,,,,,,,,,,
10,NYG,@SF,,,,,,,,,,,,,,,,
10,NYJ,@TB,,,,,,,,,,,,,,,,
10,OAK,BYE,,,,,,,,,,,,,,,,
10,PHI,BYE,,,,,,,,,,,,,,,,
10,PIT,@IND,,,,,,,,,,,,,,,,
10,SF,NYG,,,,,,,,,,,,,,,,
10,SEA,@ARI,,,,,,,,,,,,,,,,
10,TB,NYJ,,,,,,,,,,,,,,,,
10,TEN,CIN,,,,,,,,,,,,,,,,
10,WSH,MIN,,,,,,,,,,,,,,,,
11,ARI,@HOU,,,,,,,,,,,,,,,,
11,ATL,@SEA,,,,,,,,,,,,,,,,
11,BAL,@GB,,,,,,,,,,,,,,,,
11,BUF,@LAC,,,,,,,,,,,,,,,,
11,CAR,BYE,,,,,,,,,,,,,,,,
11,CHI,DET,,,,,,,,,,,,,,,,
11,CIN,@DEN,,,,,,,,,,,,,,,,
11,CLE,JAX,,,,,,,,,,,,,,,,
11,DAL,PHI,,,,,,,,,,,,,,,,
11,DEN,CIN,,,,,,,,,,,,,,,,
11,DET,@CHI,,,,,,,,,,,,,,,,
11,GB,BAL,,,,,,,,,,,,,,,,
11,HOU,ARI,,,,,,,,,,,,,,,,
11,IND,BYE,,,,,,,,,,,,,,,,
11,JAX,@CLE,,,,,,,,,,,,,,,,
11,KC,@NYG,,,,,,,,,,,,,,,,
11,LAR,@MIN,,,,,,,,,,,,,,,,
11,LAC,BUF,,,,,,,,,,,,,,,,
11,MIA,TB,,,,,,,,,,,,,,,,
11,MIN,LAR,,,,,,,,,,,,,,,,
11,NE,@OAK,,,,,,,,,,,,,,,,
11,NO,WSH,,,,,,,,,,,,,,,,
11,NYG,KC,,,,,,,,,,,,,,,,
11,NYJ,BYE,,,,,,,,,,,,,,,,
11,OAK,NE,,,,,,,,,,,,,,,,
11,PHI,@DAL,,,,,,,,,,,,,,,,
